"Navn";"Område";"Status";"Hydrokarbon";"Operatør";"Produksjon (mill. oe)";"Gjenværende (mill. oe)";"Forventet investering (NOK)"
"VARG";"North sea";"Shut down";"OIL";;"0";"4.55";"0"
"SLEIPNER VEST";"North sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0";"10.006";"9894000000"
"GUNGNE";"North sea";"Producing";"GAS";"Equinor Energy AS";"0.010557";"0.628";"0"
"SLEIPNER ØST";"North sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0.004318";"1.21";"2014000000"
"FRIGG";"North sea";"Shut down";"GAS";"Aker BP ASA";"0";"0";"0"
"BALDER";"North sea";"Producing";"OIL";"Vår Energi ASA";"0.439139";"29.692";"29746000000"
"NORDØST FRIGG";"North sea";"Shut down";"GAS";"Aker BP ASA";"0";"0.027";"0"
"ØST FRIGG";"North sea";"Shut down";"GAS";"Aker BP ASA";"0";"-0.032";"0"
"LILLE-FRIGG";"North sea";"Shut down";"GAS/CONDENSATE";"Aker BP ASA";;"0";"0"
"HEIMDAL";"North sea";"Shut down";"OIL/GAS";"Aker BP ASA";"0";"0";"0"
"FRØY";"North sea";"Shut down";"OIL";"Aker BP ASA";;"0.005";"0"
"JOTUN";"North sea";"Shut down";"OIL";"Vår Energi ASA";"0";"1.067";"0"
"ODIN";"North sea";"Shut down";"GAS";"Aker BP ASA";"0";"0.026";"0"
"VESLEFRIKK";"North sea";"Shut down";"OIL";"Equinor Energy AS";"0.005319";"0.95";"0"
"OSEBERG";"North sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0";"90.249";"27226000000"
"FRAM";"North sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0.14814";"8.123";"23213000000"
"OSEBERG ØST";"North sea";"Producing";"OIL";"Equinor Energy AS";"0.023508";"0.486";"77000000"
"OSEBERG SØR";"North sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0.194729";"22.93";"11113000000"
"BRAGE";"North sea";"Producing";"OIL";"OKEA ASA";"0.122394";"2.039";"3376000000"
"STATFJORD";"North sea";"Producing";"OIL";"Equinor Energy AS";"0";"51.399";"10532000000"
"MURCHISON";"North sea";"Shut down";"OIL";;"0";"0";"0"
"STATFJORD ØST";"North sea";"Producing";"OIL";"Equinor Energy AS";"0.043833";"3.044";"2418000000"
"STATFJORD NORD";"North sea";"Producing";"OIL";"Equinor Energy AS";"0";"3.585";"2611000000"
"GULLFAKS";"North sea";"Producing";"OIL";"Equinor Energy AS";"0.084479";"12.95";"39479000000"
"GULLFAKS SØR";"North sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0.621801";"57.569";"13271000000"
"SNORRE";"North sea";"Producing";"OIL";"Equinor Energy AS";"0";"74.639";"67440000000"
"TORDIS";"North sea";"Producing";"OIL";"Equinor Energy AS";"0.049299";"6.261";"6620000000"
"VIGDIS";"North sea";"Producing";"OIL";"Equinor Energy AS";"0";"9.12";"11915000000"
"VISUND";"North sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0";"29.732";"10102000000"
"NJORD";"Norwegian sea";"Producing";"OIL";"Equinor Energy AS";"0";"24.546";"9667000000"
"DRAUGEN";"Norwegian sea";"Producing";"OIL";"OKEA ASA";"0.099621";"10.681";"8786000000"
"ÅSGARD";"Norwegian sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0";"38.963";"25067000000"
"HEIDRUN";"Norwegian sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0.325369";"52.498";"39377000000"
"NORNE";"Norwegian sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0.059552";"5.674";"1152000000"
"YME";"North sea";"Producing";"OIL";"Repsol Norge AS";"0.050145";"12.051";"9000000"
"TROLL";"North sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0";"582.216";"38228000000"
"HULDRA";"North sea";"Shut down";"GAS/CONDENSATE";"Equinor Energy AS";"0";"0";"0"
"SYGNA";"North sea";"Producing";"OIL";"Equinor Energy AS";"0";"0.746";"392000000"
"TUNE";"North sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0";"-1.117";"7000000"
"GRANE";"North sea";"Producing";"OIL";"Equinor Energy AS";"0.154374";"14.51";"15032000000"
"KVITEBJØRN";"North sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0.203036";"11.187";"2211000000"
"GLITNE";"North sea";"Shut down";"OIL";"Equinor Energy AS";"0";"1.171";"0"
"VALE";"North sea";"Shut down";"GAS/CONDENSATE";;"0";"0.12";"0"
"SIGYN";"North sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0.008058";"2.458";"1016000000"
"MIKKEL";"Norwegian sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0.100299";"21.34";"899000000"
"KRISTIN";"Norwegian sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0.138888";"76.054";"8282000000"
"SKIRNE";"North sea";"Shut down";"GAS/CONDENSATE";;"0";"7.392";"0"
"ORMEN LANGE";"Norwegian sea";"Producing";"GAS";"A/S Norske Shell";"0.805494";"420.427";"3111000000"
"URD";"Norwegian sea";"Producing";"OIL";"Equinor Energy AS";"0.019571";"0.905";"187000000"
"ALVHEIM";"North sea";"Producing";"OIL/GAS";"Aker BP ASA";"0.205774";"18.005";"17286000000"
"VILJE";"North sea";"Producing";"OIL";"Aker BP ASA";"0.008832";"6.243";"60000000"
"VOLVE";"North sea";"Shut down";"OIL";"Aker BP ASA";"0";"0";"0"
"ENOCH";"North sea";"Producing";"OIL";"Bridge Petroleum 3 Limited";"0.000543";"0.01";"0"
"RINGHORNE ØST";"North sea";"Producing";"OIL";"Vår Energi ASA";"0.024985";"0.793";"707000000"
"TYRIHANS";"Norwegian sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0";"26.352";"1744000000"
"GIMLE";"North sea";"Producing";"OIL";"Equinor Energy AS";"0.001211";"1.114";"0"
"VOLUND";"North sea";"Producing";"OIL";"Aker BP ASA";"0.01357";"4.455";"64000000"
"ALVE";"Norwegian sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0.107464";"2.608";"952000000"
"REV";"North sea";"Producing";"OIL/GAS";"Repsol Norge AS";"0.004755";"3.302";"0"
"GJØA";"North sea";"Producing";"OIL/GAS";"Vår Energi ASA";"0.160687";"5.387";"863000000"
"VEGA";"North sea";"Producing";"GAS/CONDENSATE";"Harbour Energy Norge AS";"0.117931";"8.87";"165000000"
"SKARV";"Norwegian sea";"Producing";"OIL/GAS";"Aker BP ASA";"0";"27.854";"5164000000"
"MORVIN";"Norwegian sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0.001863";"0.181";"3000000"
"ISLAY";"North sea";"Producing";"GAS";"TotalEnergies E&P UK Limited";"0";"0.001";"0"
"YTTERGRYTA";"Norwegian sea";"Shut down";"GAS";"Equinor Energy AS";"0";"0";"0"
"GUDRUN";"North sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0.12734";"11.504";"5428000000"
"GAUPE";"North sea";"Shut down";"OIL/GAS";;"0";"0";"0"
"MARULK";"Norwegian sea";"Producing";"GAS";"DNO Norge AS";"0.020691";"0.678";"1306000000"
"VALEMON";"North sea";"Producing";"GAS/CONDENSATE";"Equinor Energy AS";"0";"1.349";"111000000"
"KNARR";"North sea";"Shut down";"OIL";;"0";"0";"0"
"VISUND SØR";"North sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0";"1.388";"1641000000"
"HYME";"Norwegian sea";"Producing";"OIL";"Equinor Energy AS";"0.014813";"4.028";"82000000"
"ATLA";"North sea";"Shut down";"GAS/CONDENSATE";;"0";"0";"0"
"SKULD";"Norwegian sea";"Producing";"OIL";"Equinor Energy AS";"0";"1.436";"191000000"
"JETTE";"North sea";"Shut down";"OIL";;"0";"0";"0"
"IVAR AASEN";"North sea";"Producing";"OIL";"Aker BP ASA";"0.129385";"6.274";"2715000000"
"EDVARD GRIEG";"North sea";"Producing";"OIL";"Aker BP ASA";"0.154051";"29.15";"2495000000"
"MARTIN LINGE";"North sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0.239744";"17.598";"7745000000"
"BØYLA";"North sea";"Producing";"OIL";"Aker BP ASA";"0.035926";"2.336";"1383000000"
"SVALIN";"North sea";"Producing";"OIL";"Equinor Energy AS";"0";"3.654";"217000000"
"GINA KROG";"North sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0.258587";"9.188";"1076000000"
"AASTA HANSTEEN";"Norwegian sea";"Producing";"GAS";"Equinor Energy AS";"0.611309";"46.37";"1709000000"
"FRAM H-NORD";"North sea";"Producing";"OIL";"Equinor Energy AS";"0";"0.083";"0"
"HANZ";"North sea";"Producing";"OIL/GAS";"Aker BP ASA";"-0.005051";"2.909";"9000000"
"JOHAN SVERDRUP";"North sea";"Producing";"OIL";"Equinor Energy AS";"3.495805";"232.056";"45768000000"
"MARIA";"Norwegian sea";"Producing";"OIL";"Harbour Energy Norge AS";"0.113657";"10.772";"2895000000"
"BYRDING";"North sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0.000178";"1.614";"4000000"
"UTGARD";"North sea";"Producing";"GAS";"Equinor Energy AS";"0.0197";"0.968";"597000000"
"DVALIN";"Norwegian sea";"Producing";"GAS";"Harbour Energy Norge AS";"0.164848";"18.387";"0"
"TRESTAKK";"Norwegian sea";"Producing";"OIL";"Equinor Energy AS";"0.070105";"5.989";"80000000"
"TROLL BRENT B";"North sea";"Shut down";"OIL";"Equinor Energy AS";"0";"0";"0"
"SINDRE";"North sea";"Producing";"OIL/GAS";"Equinor Energy AS";"0.028749";"0.055";"0"
"BAUGE";"Norwegian sea";"Producing";"OIL";"Equinor Energy AS";"0.031374";"2.971";"594000000"
"SKOGUL";"North sea";"Producing";"OIL";"Aker BP ASA";"0.009059";"0.951";"4000000"
"FENJA";"Norwegian sea";"Producing";"OIL/GAS";"Vår Energi ASA";"0.042016";"9.668";"728000000"
"NOVA";"North sea";"Producing";"OIL";"Harbour Energy Norge AS";"0";"5.017";"1028000000"
"SOLVEIG";"North sea";"Producing";"OIL";"Aker BP ASA";"0.135587";"13.797";"5826000000"
"DUVA";"North sea";"Producing";"OIL/GAS";"Vår Energi ASA";"0.098854";"3.924";"429000000"
"ÆRFUGL NORD";"Norwegian sea";"Producing";"GAS/CONDENSATE";"Aker BP ASA";"0.013864";"0.113";"6000000"
"BREIDABLIKK";"North sea";"Producing";"OIL";"Equinor Energy AS";"0.366903";"26.793";"9089000000"
"TYRVING";"North sea";"Producing";"OIL";"Aker BP ASA";"0";"3.923";"-23000000"
"BERLING";"Norwegian sea";"Approved for production";"GAS/CONDENSATE";"OMV (Norge) AS";"0";"7.338";"8145000000"
"HUGIN";"North sea";"Approved for production";"OIL/GAS";"Aker BP ASA";"0";"38.128";"67018000000"
"MUNIN";"North sea";"Approved for production";"OIL/GAS";"Aker BP ASA";"0";"48.399";"30569000000"
"IDUN NORD";"Norwegian sea";"Approved for production";"GAS";"Aker BP ASA";"0";"3.34";"2468000000"
"FULLA";"North sea";"Approved for production";"OIL/CONDENSATE";"Aker BP ASA";"0";"11.16";"9383000000"
